Algorithm,Data Type,Data Ordering,Array size,Standard deviation,Standard error,Mean,Minimum time,Maximum time,Median,Number of iterations,First quartile,Third quartile,Interquartile range,First result,Last result,v_0,v_1,v_2,v_3,v_4,v_5,v_6,v_7,v_8,v_9,v_10,v_11,v_12,v_13,v_14,v_15,v_16,v_17,v_18,v_19,v_20,v_21,v_22,v_23,v_24,v_25,v_26,v_27,v_28,v_29
BUBBLE_SORT_UNTIL_NO_CHANGE,FLOAT,ASC,100,1722.762748868482,314.53200626162504,3412.3333333333335,2861,39775,3082.0,30,2942.0,3123.0,181.0,39775.0,2929.0,3102,3295,3605,3110,3082,3114,3088,3092,3123,3323,3058,3277,12609,3107,2861,3001,2951,2942,2939,2932,2944,2986,3912,3411,2885,2884,2952,2909,2947,2929
BUBBLE_SORT_UNTIL_NO_CHANGE,FLOAT,RANDOM,100,19022.683190222026,3473.05089585298,173161.66666666666,127984,486166,171815.0,30,157640.0,183183.0,25543.0,486166.0,171890.0,181054,168801,166505,169205,175391,185105,185295,183183,195812,177916,178270,200360,171815,194668,160805,158956,157753,156885,157640,173430,160668,154133,152517,152025,222840,152547,153206,222192,153983,171890
BUBBLE_SORT_UNTIL_NO_CHANGE,FLOAT,DESC,100,602.2150308098704,109.94891894774487,38788.7,36642,113823,38782.0,30,38339.0,39099.0,760.0,113057.0,38301.0,38651,38523,39099,38290,37915,39415,39627,38991,38979,38713,39068,39616,39268,38404,38339,38642,38793,38782,37706,38405,38078,38226,38970,38871,40728,39356,39250,38344,38311,38301
BUBBLE_SORT_UNTIL_NO_CHANGE,FLOAT,ASC,1000,753.4515423480574,137.56080191036332,4703.8,3304,57626,4588.0,30,4165.0,5019.0,854.0,57626.0,5088.0,4073,4379,4176,5009,6649,6633,5212,4620,4473,4627,4242,3779,3935,3918,4511,4672,4227,4049,4695,4039,4022,4165,4475,5019,4588,5232,5078,6531,4998,5088
BUBBLE_SORT_UNTIL_NO_CHANGE,FLOAT,RANDOM,1000,252205.22770298048,46046.164111216414,3004671.433333333,2758337,3754762,2876071.0,30,2827871.0,3191323.0,363452.0,2930151.0,2824496.0,3652057,3511505,3584016,3374241,3314188,3268888,3217478,3191323,3097385,2871729,2827270,2842880,2915242,2870306,2896194,2830553,2825060,2826484,2826938,2830423,2954227,2828676,2827871,2893789,2876071,2878189,2834809,2823595,2824260,2824496
BUBBLE_SORT_UNTIL_NO_CHANGE,FLOAT,DESC,1000,74916.04595745086,13677.73609666318,3485253.3666666667,3238686,4489454,3473514.0,30,3470645.0,3514238.0,43593.0,3265279.0,3470286.0,3557253,3425637,3682334,3315744,3317681,3389312,3544529,3520364,3472706,3474570,3474308,3656408,3472454,3471544,3471114,3475087,3473188,3514238,3470936,3611480,3475991,3516829,3474002,3470674,3470476,3473514,3470645,3470513,3473784,3470286
BUBBLE_SORT_UNTIL_NO_CHANGE,SHORT,ASC,100,1618.5635552001725,295.5079233129642,3007.133333333333,1303,28539,3110.0,30,3052.0,3152.0,100.0,28539.0,1315.0,3123,3122,3606,3109,3168,3052,3073,3110,3114,3410,3078,3161,3624,3152,3081,3122,3100,3108,3130,3102,3438,3110,10634,1485,1360,1366,1341,1303,1317,1315
BUBBLE_SORT_UNTIL_NO_CHANGE,SHORT,RANDOM,100,968.7100615423241,176.8614507963162,141738.5,140431,216395,141812.0,30,140899.0,142146.0,1247.0,149626.0,144011.0,140959,141055,141119,140560,140899,142270,142146,141353,142114,140766,142253,140532,140731,142865,142464,141745,142001,141872,140800,144284,141211,141812,141863,141833,140764,140862,143651,141884,141476,144011
BUBBLE_SORT_UNTIL_NO_CHANGE,SHORT,DESC,100,272.9073591288199,49.82583890133936,50168.8,49991,189687,50102.0,30,50058.0,50190.0,132.0,189687.0,50085.0,50217,50050,50161,50304,50077,50190,50040,50058,50046,50144,50102,50004,50130,50342,50106,50107,50031,50201,49991,50121,50086,50102,50038,51561,50291,50065,50250,50070,50094,50085
BUBBLE_SORT_UNTIL_NO_CHANGE,SHORT,ASC,1000,64.8605684012508,11.841865468657284,3995.8,3914,8474,3976.0,30,3954.0,4031.0,77.0,8474.0,4042.0,3984,4145,3973,4061,4216,3977,3952,3973,3939,3990,3966,4031,3976,4026,3959,3962,3926,3928,3935,3954,3934,3975,3971,4004,3914,4061,4004,4056,4040,4042
