Algorithm,Data Type,Data Ordering,Array size,Standard deviation,Standard error,Mean,Minimum time,Maximum time,Median,N last iterations,First quartile,Third quartile,Interquartile range,First result,Last result,v_0,v_1,v_2,v_3,v_4,v_5,v_6,v_7,v_8,v_9,v_10,v_11,v_12,v_13,v_14,v_15,v_16,v_17,v_18,v_19,v_20,v_21,v_22,v_23,v_24,v_25,v_26,v_27,v_28,v_29
BUBBLE_SORT_PASS_PER_ITEM,FLOAT,ASC,10000,1026931.2911365071,187491.14438779,1.124211848E8,111242542,118545917,1.1192075E8,30,1.1159675E8,1.13560334E8,1963584.0,1.14233833E8,1.11641042E8,113677084,113701792,113520750,113655875,113514625,113675833,113989167,113472625,113861583,113560334,114417375,111517625,111242542,111358125,111890750,111802209,111738250,111755709,112083000,111473250,111920750,111303666,111499584,111730000,111688125,111596750,111976083,111950916,111420125,111641042
BUBBLE_SORT_PASS_PER_ITEM,FLOAT,RANDOM,10000,829328.0657304716,151413.89639090214,2.3032835423333332E8,223750958,233334292,2.30102959E8,30,2.29883666E8,2.30734583E8,850917.0,2.30377334E8,2.30174708E8,229773625,230063333,229699292,230789417,230800791,229361667,229899000,229975083,229969042,231339209,230381875,230562584,229938792,230102959,230213333,232016833,229230625,229883666,232821959,230101250,231006542,229342708,230112375,229952292,229798375,230190000,229453542,230734583,232161167,230174708
BUBBLE_SORT_PASS_PER_ITEM,FLOAT,DESC,10000,82121.40957821062,14993.249493368921,2.2430414023333332E8,219933292,224677250,2.24320292E8,30,2.24227583E8,2.24359667E8,132084.0,2.20330375E8,2.24227583E8,224344083,224241875,224400417,224330000,224520333,224332625,224136625,224359667,224397958,224244709,224203750,224320292,224216500,224365292,224272875,224359584,224275166,224404875,224333250,224222333,224216833,224206125,224395083,224226667,224267750,224281833,224409708,224280625,224329791,224227583
BUBBLE_SORT_PASS_PER_ITEM,SHORT,ASC,100,48.36119886391939,8.829506508587288,22720.833333333332,22541,355000,22709.0,30,22708.0,22750.0,42.0,355000.0,22792.0,22750,22708,22750,22709,22750,22709,22708,22750,22625,22792,22667,22709,22708,22791,22708,22750,22541,22708,22709,22750,22750,22708,22750,22708,22709,22708,22750,22708,22750,22792
BUBBLE_SORT_PASS_PER_ITEM,SHORT,RANDOM,100,46.45265211900059,8.481055140505593,28926.533333333333,28750,40375,28917.0,30,28916.0,28958.0,42.0,39625.0,28875.0,28917,28917,28917,28916,29000,28958,28958,28917,28917,28875,29000,28875,28959,28875,28917,28875,29000,28917,28917,29000,28917,28875,28958,28834,29042,28917,28917,28917,28917,28875
BUBBLE_SORT_PASS_PER_ITEM,SHORT,DESC,100,42.809773027507006,7.815959456280605,31627.7,31417,40208,31625.0,30,31584.0,31666.0,82.0,35000.0,31666.0,31625,31708,31666,31666,31625,31542,31625,31667,31625,31625,31583,31708,31625,31584,31583,31666,31625,31708,31625,31625,31667,31584,31625,31625,31541,31625,31583,31625,31584,31666
BUBBLE_SORT_PASS_PER_ITEM,SHORT,ASC,1000,3940.707635268908,719.4714881232071,2241957.0,2204083,2385167,2240334.0,30,2239125.0,2245125.0,6000.0,2204083.0,2239042.0,2247584,2239125,2243750,2246208,2239750,2239708,2240459,2246292,2239083,2238709,2239416,2251334,2239416,2240084,2247041,2240834,2241333,2238708,2245125,2239875,2240334,2250125,2236166,2236834,2244000,2248250,2239375,2238750,2242000,2239042
BUBBLE_SORT_PASS_PER_ITEM,SHORT,RANDOM,1000,4802.795574338855,876.8664917171236,2759943.066666667,2745750,2919959,2759917.0,30,2756417.0,2764500.0,8083.0,2761750.0,2760459.0,2765042,2756708,2759334,2759166,2752125,2765750,2758334,2754833,2764500,2759917,2757541,2766334,2764750,2758625,2767750,2766625,2752791,2762959,2757875,2760916,2761500,2751750,2763000,2756417,2754250,2762375,2768333,2753583,2754750,2760459
BUBBLE_SORT_PASS_PER_ITEM,SHORT,DESC,1000,6321.951400916931,1154.2251299111963,3121255.533333333,3081625,3284208,3119250.0,30,3117417.0,3124917.0,7500.0,3081625.0,3121417.0,3117250,3115416,3114417,3118208,3114667,3114875,3116958,3143125,3119250,3115500,3119250,3118542,3125125,3126583,3122542,3117834,3119583,3133916,3117459,3128750,3124416,3117417,3128375,3117458,3118583,3124917,3120083,3128167,3117583,3121417
BUBBLE_SORT_PASS_PER_ITEM,SHORT,ASC,10000,96083.37279213413,17542.34355981,2.2804322776666668E8,227906541,228841958,2.28016125E8,30,2.27996416E8,2.280445E8,48084.0,2.28265042E8,2.28426084E8,228011417,228006875,228130208,228026042,228022917,228005625,227950500,228161375,228044500,228022791,228007834,228168583,228029083,227991958,228013417,228041875,228146041,227941917,228016125,227966375,228068542,228000375,227943917,228043083,228180500,227996416,227968125,228001542,227962791,228426084
